RUN_NAME,Mean,Stdv,Mins,Maxs,Range,STATION_FACTOR,TURB_INT,TREND_CORR_TI
200411170900,3.03,7.22,-28.50,24.20,52.70,999.0,999.0,999.0
200411170910,10.20,18.43,-38.80,58.20,97.00,999.0,999.0,999.0
200411170920,48.33,24.30,-53.30,117.40,170.70,999.0,999.0,999.0
200411170930,48.08,19.17,-21.50,141.60,163.10,999.0,999.0,999.0
200411170940,53.95,14.24,-13.30,123.20,136.50,999.0,999.0,999.0
200411170950,64.58,5.98,39.70,91.10,51.40,999.0,999.0,999.0
200411171000,69.24,6.61,53.00,103.20,50.20,999.0,999.0,999.0
200411171010,63.46,12.93,37.00,99.20,62.20,999.0,999.0,999.0
200411171020,62.61,13.87,-1.30,115.80,117.10,999.0,999.0,999.0
200411171030,60.70,14.95,-12.90,135.80,148.70,999.0,999.0,999.0
200411171040,62.92,12.78,4.00,109.50,105.50,999.0,999.0,999.0
200411171050,50.48,10.75,-14.10,118.60,132.70,999.0,999.0,999.0
200411171100,42.58,8.26,-6.20,110.40,116.60,999.0,999.0,999.0
200411171110,36.88,12.17,-28.80,103.10,131.90,999.0,999.0,999.0
200411171120,31.68,13.95,-41.80,109.20,151.00,999.0,999.0,999.0
200411171130,44.23,16.02,-22.10,117.10,139.20,999.0,999.0,999.0
200411171140,56.59,12.77,6.10,102.50,96.40,999.0,999.0,999.0
200411171150,65.76,14.53,3.30,112.50,109.20,999.0,999.0,999.0
200411171200,62.30,12.23,-13.50,109.70,123.20,999.0,999.0,999.0
200411171210,62.39,13.19,3.80,122.30,118.50,999.0,999.0,999.0
200411171220,59.51,14.62,3.30,117.90,114.60,999.0,999.0,999.0
200411171230,53.35,16.25,6.80,164.90,158.10,999.0,999.0,999.0
200411171240,64.91,12.13,6.90,130.00,123.10,999.0,999.0,999.0
200411171250,72.49,12.98,-36.10,129.50,165.60,999.0,999.0,999.0
200411171300,70.20,11.42,4.80,117.40,112.60,999.0,999.0,999.0
200411171310,61.07,15.10,-9.20,151.50,160.70,999.0,999.0,999.0
200411171320,66.11,9.68,7.80,103.20,95.40,999.0,999.0,999.0
200411171330,68.55,6.19,17.70,106.30,88.60,999.0,999.0,999.0
200411171340,53.34,18.63,-10.20,107.60,117.80,999.0,999.0,999.0
200411171350,33.49,12.87,-28.90,128.70,157.60,999.0,999.0,999.0
200411171400,4.87,8.90,-21.50,37.40,58.90,999.0,999.0,999.0
200411171430,4.70,10.70,-41.90,39.30,81.20,999.0,999.0,999.0
200411171440,5.14,10.74,-45.00,39.60,84.60,999.0,999.0,999.0
200411171450,5.35,9.83,-42.20,47.70,89.90,999.0,999.0,999.0
200411171500,3.04,9.66,-43.30,33.70,77.00,999.0,999.0,999.0
200411171510,5.40,10.23,-40.80,46.20,87.00,999.0,999.0,999.0
200411171520,1.72,8.49,-45.50,29.00,74.50,999.0,999.0,999.0
200411171530,2.69,9.51,-43.50,37.50,81.00,999.0,999.0,999.0
200411171540,6.08,11.14,-44.20,41.50,85.70,999.0,999.0,999.0
200411171550,359.89,10.89,-50.20,36.90,87.10,999.0,999.0,999.0
200411171600,5.52,8.69,-39.50,35.30,74.80,999.0,999.0,999.0
200411171610,4.09,10.88,-51.80,46.00,97.80,999.0,999.0,999.0
